7.100000e+06	  3	  3000	   323	2.060129042497092e-03	3.162277660168377e+00	4.770016091800297e-01
7.200000e+06	  3	  3000	  2318	1.978542265373189e-03	3.162277660168377e+00	5.289114257881247e-01
collision No.2	3.734157e+00[yr]	i=1, j=2682	r_ij=6.327041470065909e-05	radius[1]+radius[2682]=6.338481524341289e-05
7.300000e+06	  3	  3000	   563	1.991264118944635e-03	3.162277660168377e+00	5.798289139227486e-01
7.400000e+06	  3	  3000	   102	1.440202133618563e-03	3.162277660168377e+00	6.308160595398002e-01
7.500000e+06	  3	  3000	  2178	1.778254965286102e-03	3.162277660168377e+00	6.824308451586022e-01
7.600000e+06	  3	  3000	   387	1.260202500299978e-03	3.162277660168377e+00	7.322278429633097e-01
7.700000e+06	  3	  3000	  2677	1.454627027557123e-03	3.162277660168377e+00	7.828752580353535e-01
7.800000e+06	  3	  3000	  2356	1.886657367873090e-03	3.162277660168377e+00	8.346715111372430e-01
collision No.3	4.031422e+00[yr]	i=3, j=317	r_ij=6.327828351966693e-05	radius[3]+radius[317]=6.338481524341289e-05
7.900000e+06	  3	  3000	  1446	1.417280568647780e-03	3.162277660168377e+00	8.847561775373909e-01
8.000000e+06	  3	  3000	  2041	2.007176605826290e-03	3.162277660168377e+00	9.355342071459439e-01
8.100000e+06	  3	  3000	  1216	1.440835805538672e-03	3.162277660168377e+00	9.848245859652710e-01
8.200000e+06	  3	  3000	  1071	1.513085243515269e-03	3.162277660168377e+00	1.034722882488460e+00
8.300000e+06	  3	  3000	  1903	1.653451944264959e-03	4.216965034285820e+00	3.124496448871961e-02
8.400000e+06	  3	  3000	   690	1.678877997798564e-03	4.216965034285820e+00	8.351141185270816e-02
8.500000e+06	  3	  3000	  1102	1.879440101477049e-03	4.216965034285820e+00	1.360280649462162e-01
8.600000e+06	  3	  3000	  2697	1.754340506168054e-03	4.216965034285820e+00	1.880463527331215e-01
8.700000e+06	  3	  3000	   299	1.896335300447449e-03	4.216965034285820e+00	2.403750832074485e-01
8.800000e+06	  3	  3000	  1328	1.329895469663207e-03	4.216965034285820e+00	2.933693522895275e-01
8.900000e+06	  3	  3000	  2101	1.701776570190816e-03	4.216965034285820e+00	3.457786552605879e-01
9.000000e+06	  3	  3000	  1526	2.029070637524092e-03	4.216965034285820e+00	3.979727719979879e-01
9.100000e+06	  3	  3000	  2005	1.352403680257331e-03	4.216965034285820e+00	4.481318089739796e-01
9.200000e+06	  3	  3000	  2349	1.659188276688177e-03	4.216965034285820e+00	4.990063880020641e-01
9.300000e+06	  3	  3000	   809	1.926719636398471e-03	4.216965034285820e+00	5.504921367635400e-01
9.400000e+06	  3	  3000	    69	1.975872373902822e-03	4.216965034285820e+00	6.024668195095205e-01
9.500000e+06	  3	  3000	   421	1.243192542905544e-03	4.216965034285820e+00	6.547008362200690e-01
9.600000e+06	  3	  3000	  2955	2.037959846294778e-03	4.216965034285820e+00	7.076101253009223e-01
9.700000e+06	  3	  3000	  1777	1.926563848093988e-03	4.216965034285820e+00	7.603244334993436e-01
9.800000e+06	  3	  3000	  2402	1.608840209387098e-03	4.216965034285820e+00	8.130619077342750e-01
9.900000e+06	  3	  3000	  1542	1.842799899659747e-03	4.216965034285820e+00	8.654506199522776e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.000000e+07	  3	  3000	  1344	1.388219988400605e-03	4.216965034285820e+00	9.177458935413377e-01
1.010000e+07	  3	  3000	  2134	1.417096968159742e-03	4.216965034285820e+00	9.705249617332856e-01
1.020000e+07	  3	  3000	   596	1.431803687961855e-03	4.216965034285820e+00	1.021990531785945e+00
1.030000e+07	  3	  3000	   395	1.674508270784414e-03	4.216965034285820e+00	1.074846059119537e+00
1.040000e+07	  3	  3000	   203	1.873562046135041e-03	4.216965034285820e+00	1.126552937311299e+00
1.050000e+07	  3	  3000	   563	1.912663400708229e-03	4.216965034285820e+00	1.179494575225151e+00
1.060000e+07	  3	  3000	  2982	1.580245143522582e-03	4.216965034285820e+00	1.231668542611636e+00
1.070000e+07	  3	  3000	   105	1.629350497457113e-03	4.216965034285820e+00	1.284097928482392e+00
1.080000e+07	  3	  3000	  2858	1.876841426047781e-03	4.216965034285820e+00	1.336746261020449e+00
1.090000e+07	  3	  3000	  1295	1.606905245403887e-03	4.216965034285820e+00	1.389469898953234e+00
1.100000e+07	  3	  3000	  1525	1.469554914079805e-03	5.623413251903486e+00	3.442635695572208e-02
1.110000e+07	  3	  3000	  1190	1.794207729816523e-03	5.623413251903486e+00	8.544421668202147e-02
1.120000e+07	  3	  3000	  1399	1.766934495780578e-03	5.623413251903486e+00	1.361177213873561e-01
1.130000e+07	  3	  3000	  1034	1.876111861564748e-03	5.623413251903486e+00	1.873078968487106e-01
1.140000e+07	  3	  3000	    63	1.562908965472731e-03	5.623413251903486e+00	2.392242888152993e-01
1.150000e+07	  3	  3000	  2135	1.663243797145028e-03	5.623413251903486e+00	2.902573808585064e-01
1.160000e+07	  3	  3000	  2885	1.552025821029926e-03	5.623413251903486e+00	3.412328772424381e-01
1.170000e+07	  3	  3000	  2000	1.779085204781566e-03	5.623413251903486e+00	3.929650299063672e-01
1.180000e+07	  3	  3000	    15	1.264292761438915e-03	5.623413251903486e+00	4.428430570512012e-01
1.190000e+07	  3	  3000	  1640	1.862620772899152e-03	5.623413251903486e+00	4.950358407683355e-01
1.200000e+07	  3	  3000	  1533	1.449317596328270e-03	5.623413251903486e+00	5.458149813884150e-01
1.210000e+07	  3	  3000	  2020	1.415436373893375e-03	5.623413251903486e+00	5.978404809036932e-01
1.220000e+07	  3	  3000	  2359	1.437811179221519e-03	5.623413251903486e+00	6.495790134156663e-01
1.230000e+07	  3	  3000	  2761	1.578124242952505e-03	5.623413251903486e+00	7.013159837892260e-01
1.240000e+07	  3	  3000	   421	1.337758118720155e-03	5.623413251903486e+00	7.524987227364883e-01
1.250000e+07	  3	  3000	  1399	1.666258978484688e-03	5.623413251903486e+00	8.043199101155362e-01
1.260000e+07	  3	  3000	  1065	1.315978978262275e-03	5.623413251903486e+00	8.560382853612430e-01
1.270000e+07	  3	  3000	   628	2.520287394289635e-05	5.623413251903486e+00	9.076235518343763e-01
1.280000e+07	  3	  3000	  1692	1.756038298758985e-03	5.623413251903486e+00	9.571800059597385e-01
1.290000e+07	  3	  3000	  1076	1.380335172525501e-05	5.623413251903486e+00	1.007849031268451e+00
1.300000e+07	  3	  3000	  1743	1.738099407435121e-03	5.623413251903486e+00	1.058401212226247e+00
1.310000e+07	  3	  3000	   628	3.609729802023455e-05	5.623413251903486e+00	1.108552889982076e+00
1.320000e+07	  3	  3000	  1545	1.621186837444449e-03	5.623413251903486e+00	1.159187072821473e+00
1.330000e+07	  3	  3000	   632	1.334248754831613e-03	5.623413251903486e+00	1.210538535275324e+00
1.340000e+07	  3	  3000	  2330	1.344125248108086e-03	5.623413251903486e+00	1.261795875527656e+00
1.350000e+07	  3	  3000	  2607	1.379043485527492e-03	5.623413251903486e+00	1.312750906238459e+00
1.360000e+07	  3	  3000	   175	1.841192715370630e-03	5.623413251903486e+00	1.363230132436233e+00
1.370000e+07	  3	  3000	  1945	2.000063247009758e-03	5.623413251903486e+00	1.414059621095741e+00
1.380000e+07	  3	  3000	  2930	1.852696418723078e-03	5.623413251903486e+00	1.465001916510138e+00
1.390000e+07	  3	  3000	  1801	1.750499328948807e-03	5.623413251903486e+00	1.514759917383913e+00
1.400000e+07	  3	  3000	  2817	1.482074958207703e-03	5.623413251903486e+00	1.565132818177839e+00
1.410000e+07	  3	  3000	  2374	2.043585496462591e-03	5.623413251903486e+00	1.615168514488189e+00
1.420000e+07	  3	  3000	  1448	1.185572824428206e-03	5.623413251903486e+00	1.665370426863912e+00
1.430000e+07	  3	  3000	   983	1.359781491463571e-03	5.623413251903486e+00	1.714981492052138e+00
1.440000e+07	  3	  3000	   537	1.707756487752183e-03	5.623413251903486e+00	1.765343666276178e+00
collision No.4	7.437350e+00[yr]	i=1, j=628	r_ij=6.331157018680933e-05	radius[1]+radius[628]=6.338481524341289e-05
1.450000e+07	  3	  3000	  2953	1.734157952690758e-03	5.623413251903486e+00	1.815641036219007e+00
1.460000e+07	  3	  3000	  2328	1.688995470653195e-03	5.623413251903486e+00	1.866219532184393e+00
1.470000e+07	  3	  3000	  1879	1.732970883268011e-03	7.498942093324552e+00	4.151306782453018e-02
1.480000e+07	  3	  3000	  2400	1.260990048377620e-03	7.498942093324552e+00	9.097760487860387e-02
1.490000e+07	  3	  3000	   103	1.641440351916548e-03	7.498942093324552e+00	1.438090776180619e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.500000e+07	  3	  3000	   497	1.494183616575522e-03	7.498942093324552e+00	1.968421595899307e-01
1.510000e+07	  3	  3000	    77	1.935489475627733e-03	7.498942093324552e+00	2.487614477875200e-01
1.520000e+07	  3	  3000	  1920	1.266104612333064e-03	7.498942093324552e+00	3.011018063132540e-01
1.530000e+07	  3	  3000	  1168	1.993894253326595e-03	7.498942093324552e+00	3.541385842884857e-01
collision No.5	7.878964e+00[yr]	i=1, j=2232	r_ij=6.322379159262594e-05	radius[1]+radius[2232]=6.338481524341289e-05
1.540000e+07	  3	  3000	  2979	1.785755619321314e-03	7.498942093324552e+00	4.068625744424797e-01
1.550000e+07	  3	  3000	   468	1.412629726068398e-03	7.498942093324552e+00	4.591978502782218e-01
1.560000e+07	  3	  3000	    44	1.915863003114162e-03	7.498942093324552e+00	5.113302011446911e-01
1.570000e+07	  3	  3000	  1755	1.276307206450921e-03	7.498942093324552e+00	5.639716375899188e-01
1.580000e+07	  3	  3000	  2718	1.734524329787484e-03	7.498942093324552e+00	6.164811843040621e-01
1.590000e+07	  3	  3000	   415	1.706451650882333e-03	7.498942093324552e+00	6.693187819468661e-01
1.600000e+07	  3	  3000	  2815	1.851581969939507e-03	7.498942093324552e+00	7.223313302390083e-01
1.610000e+07	  3	  3000	  2442	1.763768099356541e-03	7.498942093324552e+00	7.748513033426747e-01
1.620000e+07	  3	  3000	  1228	1.316793096787449e-03	7.498942093324552e+00	8.277508778222333e-01
1.630000e+07	  3	  3000	   882	1.293650811461700e-03	7.498942093324552e+00	8.802956059292315e-01
1.640000e+07	  3	  3000	  1940	1.663363787704490e-03	7.498942093324552e+00	9.328531134335942e-01
1.650000e+07	  3	  3000	    92	1.671831760197138e-03	7.498942093324552e+00	9.849094309994155e-01
1.660000e+07	  3	  3000	   158	1.518253148476180e-03	7.498942093324552e+00	1.037677882339808e+00
1.670000e+07	  3	  3000	   259	1.486200425256640e-03	7.498942093324552e+00	1.090682718668798e+00
1.680000e+07	  3	  3000	  1776	1.278249344818413e-03	7.498942093324552e+00	1.142945981400312e+00
1.690000e+07	  3	  3000	  2219	1.503367729187800e-03	7.498942093324552e+00	1.192401557538888e+00
1.700000e+07	  3	  3000	  2953	1.697049892605553e-03	7.498942093324552e+00	1.245393144542686e+00
1.710000e+07	  3	  3000	   511	1.232812767690125e-04	7.498942093324552e+00	1.298249239024618e+00
1.720000e+07	  3	  3000	  1453	1.623803639076788e-03	7.498942093324552e+00	1.351038320207720e+00
1.730000e+07	  3	  3000	  1422	1.775361216980423e-03	7.498942093324552e+00	1.403210575533441e+00
1.740000e+07	  3	  3000	    21	1.503464262907405e-03	7.498942093324552e+00	1.456139366861195e+00
1.750000e+07	  3	  3000	  2437	1.522732160989598e-03	7.498942093324552e+00	1.509112367682438e+00
1.760000e+07	  3	  3000	   980	1.492294108089967e-03	7.498942093324552e+00	1.562013781793902e+00
1.770000e+07	  3	  3000	  2376	1.842600837722463e-03	7.498942093324552e+00	1.614571281970488e+00
1.780000e+07	  3	  3000	   937	2.120996242380809e-03	7.498942093324552e+00	1.667583338954471e+00
1.790000e+07	  3	  3000	   736	1.835987038345477e-03	7.498942093324552e+00	1.720669289502289e+00
1.800000e+07	  3	  3000	   245	1.264158297714652e-03	7.498942093324552e+00	1.773709203694688e+00
1.810000e+07	  3	  3000	   143	1.446855157047415e-03	7.498942093324552e+00	1.826722835849870e+00
1.820000e+07	  3	  3000	   350	2.001159598931376e-03	7.498942093324552e+00	1.879237584322162e+00
1.830000e+07	  3	  3000	  1096	1.967903613426043e-03	7.498942093324552e+00	1.931051794051660e+00
1.840000e+07	  3	  3000	   378	1.596085561487019e-03	7.498942093324552e+00	1.984148600145053e+00
1.850000e+07	  3	  3000	   940	1.900352153250659e-03	7.498942093324552e+00	2.037251660210106e+00
1.860000e+07	  3	  3000	  2694	1.410878061287536e-03	7.498942093324552e+00	2.090354368162760e+00
1.870000e+07	  3	  3000	  1803	1.920152294050447e-03	7.498942093324552e+00	2.143395009960910e+00
1.880000e+07	  3	  3000	  2426	2.087983998476934e-03	7.498942093324552e+00	2.195851652576234e+00
1.890000e+07	  3	  3000	  2359	1.540010673792583e-03	7.498942093324552e+00	2.248735512914261e+00
1.900000e+07	  3	  3000	  1931	2.087280168843892e-03	7.498942093324552e+00	2.301729994732604e+00
1.910000e+07	  3	  3000	  2801	1.920474433041509e-03	7.498942093324552e+00	2.354692599737945e+00
1.920000e+07	  3	  3000	  1945	1.797215588111230e-03	7.498942093324552e+00	2.406115675194662e+00
1.930000e+07	  3	  3000	   889	1.673171731045974e-03	7.498942093324552e+00	2.458836228724135e+00
1.940000e+07	  3	  3000	  1084	1.602293278157392e-03	9.999999999999991e+00	9.733480902842012e-03
1.950000e+07	  3	  3000	  2208	1.360303798313747e-03	9.999999999999991e+00	6.217826264531026e-02
collision No.6	1.006716e+01[yr]	i=1, j=2394	r_ij=6.336863227018081e-05	radius[1]+radius[2394]=6.338481524341289e-05
1.960000e+07	  3	  3000	  2910	1.675560608948274e-03	9.999999999999991e+00	1.123754779087294e-01
1.970000e+07	  3	  3000	  1393	1.544465114428722e-03	9.999999999999991e+00	1.650912646950224e-01
1.980000e+07	  3	  3000	    77	1.925076619292971e-03	9.999999999999991e+00	2.181565497345964e-01
1.990000e+07	  3	  3000	  2388	1.640426946862327e-03	9.999999999999991e+00	2.712244654081974e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
2.000000e+07	  3	  3000	  1408	1.669760957581984e-03	9.999999999999991e+00	3.243032642664827e-01
2.010000e+07	  3	  3000	   447	2.024718370446039e-03	9.999999999999991e+00	3.763069874749381e-01
2.020000e+07	  3	  3000	  1744	1.782271524391804e-03	9.999999999999991e+00	4.278549816601291e-01
2.030000e+07	  3	  3000	  1794	1.700144349915374e-03	9.999999999999991e+00	4.808448922000760e-01
2.040000e+07	  3	  3000	   571	1.252468186956424e-03	9.999999999999991e+00	5.327749048424738e-01
2.050000e+07	  3	  3000	   487	1.466637693770163e-03	9.999999999999991e+00	5.852771146342443e-01
2.060000e+07	  3	  3000	  2548	1.644196324708244e-03	9.999999999999991e+00	6.376837711072574e-01
2.070000e+07	  3	  3000	  1654	1.900113330113940e-03	9.999999999999991e+00	6.898045633839567e-01
2.080000e+07	  3	  3000	  2655	1.377563051831546e-03	9.999999999999991e+00	7.424615173753887e-01
2.090000e+07	  3	  3000	  2282	2.102997584818183e-03	9.999999999999991e+00	7.945692599047222e-01
2.100000e+07	  3	  3000	    73	1.671535364859605e-03	9.999999999999991e+00	8.471373246555349e-01
2.110000e+07	  3	  3000	    48	1.816403133977779e-03	9.999999999999991e+00	8.985376876206010e-01
2.120000e+07	  3	  3000	  1897	1.597700400335696e-03	9.999999999999991e+00	9.510261997776716e-01
2.130000e+07	  3	  3000	   658	1.939423654196390e-03	9.999999999999991e+00	1.003960687322916e+00
2.140000e+07	  3	  3000	   847	1.543650196530032e-03	9.999999999999991e+00	1.056014985086028e+00
2.150000e+07	  3	  3000	  2980	1.204335345790227e-03	9.999999999999991e+00	1.109004984865980e+00
2.160000e+07	  3	  3000	   287	1.997861341314240e-03	9.999999999999991e+00	1.160339359739224e+00
2.170000e+07	  3	  3000	  2875	1.758594051456004e-03	9.999999999999991e+00	1.212041863438538e+00
2.180000e+07	  3	  3000	  2570	1.452798751593844e-03	9.999999999999991e+00	1.264953519680728e+00
2.190000e+07	  3	  3000	  1363	1.192213055984882e-03	9.999999999999991e+00	1.316810632512165e+00
2.200000e+07	  3	  3000	  2818	1.620978503819642e-03	9.999999999999991e+00	1.369873563467017e+00
2.210000e+07	  3	  3000	  2553	1.710782929277571e-03	9.999999999999991e+00	1.422944101006695e+00
2.220000e+07	  3	  3000	  2071	1.521321359753816e-03	9.999999999999991e+00	1.475956681668052e+00
2.230000e+07	  3	  3000	  2364	1.567772514819455e-03	9.999999999999991e+00	1.526969216653991e+00
2.240000e+07	  3	  3000	   179	1.293258453438693e-03	9.999999999999991e+00	1.579783701493140e+00
2.250000e+07	  3	  3000	  1796	5.453302697309307e-05	9.999999999999991e+00	1.631409713823807e+00
2.260000e+07	  3	  3000	  2419	1.985089290617686e-03	9.999999999999991e+00	1.684250480411819e+00
2.270000e+07	  3	  3000	  1248	1.389580231680704e-03	9.999999999999991e+00	1.737198998713602e+00
2.280000e+07	  3	  3000	   130	2.063450343702134e-03	9.999999999999991e+00	1.788898957951202e+00
2.290000e+07	  3	  3000	  2357	1.494195780671081e-03	9.999999999999991e+00	1.841755265771459e+00
2.300000e+07	  3	  3000	  1036	1.782512934041243e-03	9.999999999999991e+00	1.894738424589920e+00
2.310000e+07	  3	  3000	   423	1.691897561545071e-03	9.999999999999991e+00	1.947732136023105e+00
2.320000e+07	  3	  3000	  1592	1.383690664538415e-03	9.999999999999991e+00	2.000762109294324e+00
2.330000e+07	  3	  3000	  2623	1.350346117341623e-03	9.999999999999991e+00	2.053769978303341e+00
2.340000e+07	  3	  3000	   210	1.222284830635021e-03	9.999999999999991e+00	2.106836255277240e+00
2.350000e+07	  3	  3000	  2977	1.789458048612127e-03	9.999999999999991e+00	2.159917568288170e+00
2.360000e+07	  3	  3000	  2471	1.808691154665210e-03	9.999999999999991e+00	2.213013029733221e+00
2.370000e+07	  3	  3000	   584	1.082701182671630e-03	9.999999999999991e+00	2.266131947525474e+00
2.380000e+07	  3	  3000	  1161	1.563414306527805e-03	9.999999999999991e+00	2.318589833518924e+00
2.390000e+07	  3	  3000	   857	1.300321220835071e-03	9.999999999999991e+00	2.369226359546520e+00
2.400000e+07	  3	  3000	  1320	2.071164827172288e-03	9.999999999999991e+00	2.420037090984990e+00
2.410000e+07	  3	  3000	  2809	1.920285926947475e-03	9.999999999999991e+00	2.473028096490550e+00
2.420000e+07	  3	  3000	  1807	1.696594131021195e-03	9.999999999999991e+00	2.526070678142805e+00
2.430000e+07	  3	  3000	  1210	1.835909347273010e-03	9.999999999999991e+00	2.579090486589805e+00
