OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_nofrag_rand2/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_nofrag_rand2/
N_tr	1000
N_p	1
RAND_SEED	2
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.01
PLANET_INC	0.005
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	0.01
INC_RMS	0.005
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846*1.0E0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.000000e+07	  1	  1000	   750	1.003505097804976e-05	1.500000000000000e+01	5.856652973877150e-01
1.100000e+07	  1	  1000	   597	1.581187374348793e-03	1.600000000000000e+01	7.617412853822924e-01
collision No.4	1.690636e+01[yr]	i=1, j=732	r_ij=6.330142112063368e-05	radius[1]+radius[732]=6.338481524341289e-05
1.200000e+07	  1	  1000	   750	2.551859955220922e-05	1.700000000000001e+01	8.313418982012226e-01
1.300000e+07	  1	  1000	   689	1.395700477505663e-03	1.800000000000001e+01	8.140973750038298e-01
collision No.5	1.902351e+01[yr]	i=1, j=574	r_ij=6.337990775371764e-05	radius[1]+radius[574]=6.338481524341289e-05
1.400000e+07	  1	  1000	   389	1.535849731110469e-03	1.900000000000001e+01	7.579055288059436e-01
collision No.6	2.044026e+01[yr]	i=1, j=750	r_ij=6.337168953871999e-05	radius[1]+radius[750]=6.338481524341289e-05
collision No.7	2.060368e+01[yr]	i=1, j=723	r_ij=6.335693275233564e-05	radius[1]+radius[723]=6.338481524341289e-05
1.500000e+07	  1	  1000	   676	1.660228029157570e-03	2.000000000000001e+01	8.658947002618234e-01
1.600000e+07	  1	  1000	   339	1.682463235239820e-03	2.200000000000001e+01	4.466130829249040e-01
1.700000e+07	  1	  1000	   287	1.499599366374071e-03	2.400000000000001e+01	4.965224760933322e-03
1.800000e+07	  1	  1000	   864	1.647748939576191e-03	2.500000000000001e+01	5.231125103477539e-01
1.900000e+07	  1	  1000	   376	1.658567999891429e-03	2.700000000000002e+01	1.089869901472495e-01
2.000000e+07	  1	  1000	    25	1.747512721188626e-03	2.800000000000002e+01	6.884840148639770e-01
2.100000e+07	  1	  1000	   982	1.586594503881530e-03	3.000000000000002e+01	2.710849085287084e-01
2.200000e+07	  1	  1000	   592	1.593592361486287e-03	3.100000000000002e+01	8.575470263525377e-01
2.300000e+07	  1	  1000	   547	1.777059586254053e-03	3.300000000000002e+01	4.179681362877574e-01
2.400000e+07	  1	  1000	   581	1.522352266437747e-03	3.400000000000003e+01	9.713601559436079e-01
2.500000e+07	  1	  1000	   491	1.662938842967713e-03	3.600000000000003e+01	5.074192234041441e-01
collision No.8	3.657568e+01[yr]	i=1, j=19	r_ij=6.319856587367669e-05	radius[1]+radius[19]=6.338481524341289e-05
collision No.9	3.786444e+01[yr]	i=1, j=785	r_ij=6.329427948840165e-05	radius[1]+radius[785]=6.338481524341289e-05
2.600000e+07	  1	  1000	   470	1.671524394293534e-03	3.800000000000003e+01	8.480370162210119e-02
2.700000e+07	  1	  1000	   689	1.364952465708668e-03	3.900000000000003e+01	6.723380657759117e-01
collision No.10	4.063397e+01[yr]	i=1, j=497	r_ij=6.321246454992907e-05	radius[1]+radius[497]=6.338481524341289e-05
2.800000e+07	  1	  1000	   909	1.608100278793413e-03	4.100000000000004e+01	2.603324417894536e-01
2.900000e+07	  1	  1000	   553	1.435961768750884e-03	4.200000000000003e+01	8.493331979448226e-01
3.000000e+07	  1	  1000	    32	1.884843939121585e-03	4.400000000000002e+01	4.392094117984808e-01
3.100000e+07	  1	  1000	   929	1.514835478588040e-03	4.600000000000001e+01	2.576717458244172e-02
3.200000e+07	  1	  1000	   140	1.345710221572449e-03	4.700000000000001e+01	6.100337302225406e-01
3.300000e+07	  1	  1000	   524	2.088719108001995e-03	4.900000000000001e+01	1.954647680645793e-01
3.400000e+07	  1	  1000	   593	1.699435893842787e-03	5.000000000000000e+01	7.795338904457626e-01
3.500000e+07	  1	  1000	   586	1.696061620482878e-03	5.200000000000000e+01	3.594953600134307e-01
3.600000e+07	  1	  1000	   387	1.613455920674970e-03	5.299999999999999e+01	9.475311255849961e-01
3.700000e+07	  1	  1000	   721	1.615615739472703e-03	5.499999999999999e+01	5.327968275496943e-01
3.800000e+07	  1	  1000	   408	1.777118113152212e-03	5.699999999999998e+01	1.181388985215677e-01
3.900000e+07	  1	  1000	   316	1.611272728130123e-03	5.799999999999998e+01	6.960511321881259e-01
4.000000e+07	  1	  1000	   201	1.535200314156056e-03	5.999999999999997e+01	2.757871469067944e-01
4.100000e+07	  1	  1000	   221	1.690815416788161e-03	6.099999999999996e+01	8.586873588236880e-01
4.200000e+07	  1	  1000	   876	1.265224455666431e-03	6.299999999999996e+01	4.445877489673075e-01
4.300000e+07	  1	  1000	    27	1.476858026714843e-03	6.499999999999996e+01	2.821528870718183e-02
4.400000e+07	  1	  1000	   841	1.503077908220978e-03	6.599999999999994e+01	6.095321263033794e-01
collision No.11	6.687843e+01[yr]	i=1, j=687	r_ij=6.327096741886219e-05	radius[1]+radius[687]=6.338481524341289e-05
4.500000e+07	  1	  1000	   592	1.617323993703703e-03	6.799999999999994e+01	1.935009266350536e-01
4.600000e+07	  1	  1000	   494	1.658768882646306e-03	6.899999999999994e+01	7.797324680279556e-01
4.700000e+07	  1	  1000	   326	1.764341473783768e-03	7.099999999999993e+01	3.495704539723427e-01
4.800000e+07	  1	  1000	   390	1.571439680189427e-03	7.199999999999993e+01	9.029694433603221e-01
4.900000e+07	  1	  1000	   990	1.586020472343700e-03	7.399999999999993e+01	3.623323705855423e-01
collision No.12	7.502303e+01[yr]	i=1, j=770	r_ij=6.330542249818171e-05	radius[1]+radius[770]=6.338481524341289e-05
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  1	  1000	   407	1.583186471190203e-03	7.499999999999991e+01	7.669195507222942e-01
5.100000e+07	  1	  1000	   838	1.665297723098658e-03	7.699999999999991e+01	3.534722171346178e-01
5.200000e+07	  1	  1000	   190	1.671703512586945e-03	7.799999999999991e+01	9.390224554061296e-01
5.300000e+07	  1	  1000	   648	1.652239999726243e-03	7.999999999999990e+01	5.273878089871044e-01
5.400000e+07	  1	  1000	   965	1.452606795652526e-03	8.199999999999990e+01	1.191124068899618e-01
5.500000e+07	  1	  1000	   409	1.600338979566627e-03	8.299999999999990e+01	7.051186065119807e-01
5.600000e+07	  1	  1000	   698	1.709988372335856e-03	8.499999999999990e+01	2.957688239967232e-01
5.700000e+07	  1	  1000	   690	1.772642788374104e-03	8.599999999999989e+01	8.880023950534602e-01
5.800000e+07	  1	  1000	   638	1.621985930257670e-03	8.799999999999989e+01	4.741959351150005e-01
collision No.13	8.963369e+01[yr]	i=1, j=652	r_ij=6.321286974387348e-05	radius[1]+radius[652]=6.338481524341289e-05
5.900000e+07	  1	  1000	   680	1.533725419101427e-03	8.999999999999987e+01	6.477137362475691e-02
6.000000e+07	  1	  1000	   805	1.545828698468916e-03	9.099999999999987e+01	6.543184835335348e-01
collision No.14	9.229434e+01[yr]	i=1, j=895	r_ij=6.320934515222955e-05	radius[1]+radius[895]=6.338481524341289e-05
collision No.15	9.283504e+01[yr]	i=1, j=416	r_ij=6.323750389844999e-05	radius[1]+radius[416]=6.338481524341289e-05
6.100000e+07	  1	  1000	   582	1.497143593813069e-03	9.299999999999987e+01	1.576410613299802e-01
collision No.16	9.375814e+01[yr]	i=1, j=473	r_ij=6.325235104159518e-05	radius[1]+radius[473]=6.338481524341289e-05
6.200000e+07	  1	  1000	   328	1.481838733546496e-03	9.399999999999986e+01	6.878418230423753e-01
6.300000e+07	  1	  1000	   790	1.556329627338932e-03	9.599999999999986e+01	2.703697080058811e-01
6.400000e+07	  1	  1000	   837	1.757106923973002e-03	9.699999999999986e+01	8.550521194234377e-01
6.500000e+07	  1	  1000	   140	1.328333705769959e-03	9.899999999999984e+01	3.479694677137878e-01
6.600000e+07	  1	  1000	   747	1.634815697803692e-03	9.999999999999984e+01	7.027999041772833e-01
collision No.17	1.012380e+02[yr]	i=1, j=566	r_ij=6.328547460929911e-05	radius[1]+radius[566]=6.338481524341289e-05
6.700000e+07	  1	  1000	    54	1.458289342479669e-03	1.019999999999998e+02	4.381268283183928e-02
6.800000e+07	  1	  1000	   986	1.739627514421327e-03	1.029999999999998e+02	3.737999877549865e-01
6.900000e+07	  1	  1000	   383	1.711723750999451e-03	1.039999999999998e+02	6.856843198376665e-01
7.000000e+07	  1	  1000	   878	1.727925963453870e-03	1.049999999999998e+02	9.646167964448151e-01
7.100000e+07	  1	  1000	   269	1.639064461971792e-03	1.069999999999998e+02	2.102179061613178e-01
7.200000e+07	  1	  1000	   786	1.414303981987839e-03	1.079999999999998e+02	3.089311121588706e-01
7.300000e+07	  1	  1000	   475	1.237799483032905e-04	1.089999999999998e+02	3.922393201253973e-01
7.400000e+07	  1	  1000	   621	1.623586904418898e-03	1.099999999999998e+02	5.012556440205783e-01
7.500000e+07	  1	  1000	   441	1.709494918232131e-03	1.109999999999998e+02	6.648838753911651e-01
7.600000e+07	  1	  1000	   700	1.497618071994378e-03	1.119999999999998e+02	8.323701439007747e-01
7.700000e+07	  1	  1000	   331	1.281710666865938e-03	1.139999999999998e+02	1.323243533707247e-02
7.800000e+07	  1	  1000	     1	7.416118822271973e-06	1.149999999999998e+02	1.596289343788935e-01
7.900000e+07	  1	  1000	   593	1.754437685964790e-03	1.159999999999998e+02	2.154969453628617e-02
8.000000e+07	  1	  1000	   905	1.359839722751662e-03	1.159999999999998e+02	8.878329220792731e-01
8.100000e+07	  1	  1000	   367	1.719590866623586e-03	1.169999999999998e+02	7.546635585062064e-01
8.200000e+07	  1	  1000	   178	1.435537106974323e-03	1.179999999999998e+02	6.282321877745862e-01
8.300000e+07	  1	  1000	   951	1.972662952998783e-06	1.189999999999998e+02	5.111294119670310e-01
8.400000e+07	  1	  1000	   461	1.402616404098193e-03	1.199999999999998e+02	4.067766537855799e-01
8.500000e+07	  1	  1000	   254	1.629459259421779e-03	1.209999999999998e+02	3.152782963432156e-01
collision No.18	1.220264e+02[yr]	i=1, j=931	r_ij=6.336889776641226e-05	radius[1]+radius[931]=6.338481524341289e-05
8.600000e+07	  1	  1000	   211	1.805803901104916e-03	1.219999999999998e+02	2.732917603411469e-01
8.700000e+07	  1	  1000	     1	3.463770782524938e-06	1.229999999999998e+02	2.848028753405772e-01
8.800000e+07	  1	  1000	   796	1.537035302895000e-03	1.239999999999998e+02	2.808690907108499e-01
8.900000e+07	  1	  1000	   222	1.542890076746740e-03	1.249999999999998e+02	2.670746313867374e-01
9.000000e+07	  1	  1000	   248	1.440749198221172e-03	1.259999999999998e+02	2.570810926478479e-01
9.100000e+07	  1	  1000	   275	1.579237134106146e-03	1.269999999999998e+02	2.478386575600231e-01
9.200000e+07	  1	  1000	   286	1.387855709167295e-03	1.279999999999997e+02	2.463375614453959e-01
9.300000e+07	  1	  1000	   261	1.575412307791339e-03	1.289999999999997e+02	2.706360117062383e-01
9.400000e+07	  1	  1000	   336	2.070650366679023e-03	1.299999999999997e+02	2.592895769165487e-01
9.500000e+07	  1	  1000	     1	4.316090436598938e-06	1.309999999999997e+02	1.613096030389378e-01
9.600000e+07	  1	  1000	   369	1.364513945729394e-03	1.309999999999997e+02	9.539914036866199e-01
9.700000e+07	  1	  1000	   951	1.931557529575142e-06	1.319999999999997e+02	7.507653106163894e-01
9.800000e+07	  1	  1000	   990	1.384065148524327e-03	1.329999999999997e+02	5.212020291796733e-01
9.900000e+07	  1	  1000	   306	1.578491843800825e-03	1.339999999999997e+02	2.857302006170468e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.000000e+08	  1	  1000	   951	3.856217204845832e-06	1.349999999999997e+02	4.767067976706497e-02
1.010000e+08	  1	  1000	    55	1.750894925527394e-03	1.349999999999997e+02	8.021834138414644e-01
1.020000e+08	  1	  1000	   951	3.263422829659438e-06	1.359999999999997e+02	5.484663591020349e-01
1.030000e+08	  1	  1000	   301	1.691555163436256e-03	1.369999999999997e+02	2.956937670499126e-01
1.040000e+08	  1	  1000	   951	2.345536468508093e-06	1.379999999999997e+02	4.414609703405066e-02
1.050000e+08	  1	  1000	   564	1.538721395133825e-03	1.379999999999997e+02	7.967849677933960e-01
1.060000e+08	  1	  1000	    62	1.263673397866888e-03	1.389999999999997e+02	5.495471381388161e-01
1.070000e+08	  1	  1000	   699	1.611918395367114e-03	1.399999999999997e+02	3.125560105168890e-01
1.080000e+08	  1	  1000	   928	1.631741350903172e-03	1.409999999999997e+02	7.336560794718013e-02
collision No.19	1.414072e+02[yr]	i=1, j=198	r_ij=6.326259928332489e-05	radius[1]+radius[198]=6.338481524341289e-05
1.090000e+08	  1	  1000	   951	3.401115795211670e-06	1.409999999999997e+02	8.360116239717277e-01
1.100000e+08	  1	  1000	   647	1.783474275165603e-03	1.419999999999997e+02	6.045921156321422e-01
1.110000e+08	  1	  1000	     1	2.424750827775485e-06	1.429999999999997e+02	3.830487226243914e-01
1.120000e+08	  1	  1000	   951	5.887354287645907e-06	1.439999999999997e+02	1.762710024117938e-01
1.130000e+08	  1	  1000	    94	7.277108977417883e-04	1.439999999999997e+02	9.380657350358729e-01
1.140000e+08	  1	  1000	   666	1.377633583111547e-03	1.449999999999997e+02	7.048608323902380e-01
1.150000e+08	  1	  1000	   346	1.270543963583677e-04	1.459999999999997e+02	4.758835388916984e-01
1.160000e+08	  1	  1000	   387	1.754273025564270e-03	1.469999999999997e+02	2.294857338320686e-01
1.170000e+08	  1	  1000	   572	1.448344893243078e-03	1.469999999999997e+02	9.801310469389730e-01
1.180000e+08	  1	  1000	     1	2.340071117127239e-06	1.479999999999997e+02	7.067010485488072e-01
1.190000e+08	  1	  1000	   208	1.633371621208165e-03	1.489999999999997e+02	4.317379214916742e-01
1.200000e+08	  1	  1000	    88	1.559358113101145e-03	1.499999999999997e+02	1.601763285337422e-01
1.210000e+08	  1	  1000	     1	5.734221072885522e-06	1.499999999999997e+02	9.029806996002759e-01
1.220000e+08	  1	  1000	   531	1.524822812185803e-03	1.509999999999997e+02	6.343109863096658e-01
1.230000e+08	  1	  1000	   157	1.850662839053919e-03	1.519999999999997e+02	3.804463476915202e-01
1.240000e+08	  1	  1000	   951	2.190753619304115e-06	1.529999999999997e+02	1.437724486052017e-01
1.250000e+08	  1	  1000	   951	2.155560867683945e-06	1.529999999999997e+02	9.136244589378949e-01
collision No.20	1.543955e+02[yr]	i=1, j=572	r_ij=6.328943293875383e-05	radius[1]+radius[572]=6.338481524341289e-05
1.260000e+08	  1	  1000	     1	1.855494415171414e-06	1.539999999999997e+02	6.485475312807674e-01
1.270000e+08	  1	  1000	   791	1.451690858277529e-03	1.549999999999997e+02	3.641078659203767e-01
1.280000e+08	  1	  1000	   822	1.620578778552475e-03	1.559999999999997e+02	8.303482028319464e-02
1.290000e+08	  1	  1000	   387	1.620453961831702e-03	1.559999999999997e+02	8.033596642786254e-01
1.300000e+08	  1	  1000	     1	1.663243045378207e-06	1.569999999999997e+02	5.297803603710660e-01
1.310000e+08	  1	  1000	   951	1.911470109696769e-06	1.579999999999997e+02	2.527814067752553e-01
collision No.21	1.585184e+02[yr]	i=1, j=859	r_ij=6.321193072428371e-05	radius[1]+radius[859]=6.338481524341289e-05
1.320000e+08	  1	  1000	   951	1.780073416859482e-06	1.579999999999997e+02	9.701597015891466e-01
1.330000e+08	  1	  1000	   951	2.154774528551520e-06	1.589999999999997e+02	6.956841096892361e-01
1.340000e+08	  1	  1000	   856	1.431028331564437e-03	1.599999999999996e+02	4.220705077813098e-01
1.350000e+08	  1	  1000	   951	2.548158466873284e-06	1.609999999999996e+02	1.399603254188596e-01
1.360000e+08	  1	  1000	   735	1.373627024706551e-03	1.609999999999996e+02	8.555988739354790e-01
1.370000e+08	  1	  1000	   951	2.958121548199866e-06	1.619999999999996e+02	5.777106902653676e-01
1.380000e+08	  1	  1000	   951	2.006892992948035e-06	1.629999999999996e+02	3.104246451380210e-01
1.390000e+08	  1	  1000	   444	1.066732352995611e-03	1.639999999999996e+02	5.330589699790382e-02
1.400000e+08	  1	  1000	   450	1.221497938997288e-03	1.639999999999996e+02	7.838322227813531e-01
1.410000e+08	  1	  1000	    47	2.007488469079143e-03	1.649999999999996e+02	5.206510335121566e-01
1.420000e+08	  1	  1000	   951	2.918961297507051e-06	1.659999999999996e+02	2.588231745059792e-01
1.430000e+08	  1	  1000	   141	1.549276083877545e-03	1.659999999999996e+02	9.914186466412971e-01
1.440000e+08	  1	  1000	   581	1.536849284281798e-03	1.669999999999996e+02	7.314426035061412e-01
1.450000e+08	  1	  1000	   785	1.448285609921944e-03	1.679999999999996e+02	4.754409716176438e-01
1.460000e+08	  1	  1000	     1	2.372406690236977e-06	1.689999999999996e+02	2.221635721258861e-01
1.470000e+08	  1	  1000	   426	1.566962198224122e-03	1.689999999999996e+02	9.628723023126360e-01
1.480000e+08	  1	  1000	   577	1.932772107291692e-03	1.699999999999996e+02	6.940058880952660e-01
1.490000e+08	  1	  1000	   770	1.611482717092797e-03	1.709999999999996e+02	4.368043004258195e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.500000e+08	  1	  1000	   541	1.635707882625917e-03	1.719999999999996e+02	1.783964136257205e-01
1.510000e+08	  1	  1000	     1	2.184078653244302e-06	1.719999999999996e+02	9.251888272549283e-01
1.520000e+08	  1	  1000	   951	2.034340995345386e-06	1.729999999999996e+02	6.954051190796057e-01
1.530000e+08	  1	  1000	   729	1.465790004342345e-03	1.739999999999996e+02	4.555477208310836e-01
1.540000e+08	  1	  1000	   410	1.500310702978267e-03	1.749999999999996e+02	2.179011036313852e-01
1.550000e+08	  1	  1000	   778	1.366691698465202e-03	1.749999999999996e+02	9.625348263330229e-01
1.560000e+08	  1	  1000	   951	4.292800622132599e-06	1.759999999999996e+02	6.934228582150451e-01
1.570000e+08	  1	  1000	   951	5.587856476724954e-06	1.769999999999996e+02	4.252924865330302e-01
1.580000e+08	  1	  1000	   951	1.780137391334123e-06	1.779999999999996e+02	1.556558034718529e-01
1.590000e+08	  1	  1000	    60	1.663895097511996e-03	1.779999999999996e+02	8.888470589615144e-01
1.600000e+08	  1	  1000	   473	1.409266013165939e-03	1.789999999999996e+02	6.138012446061680e-01
1.610000e+08	  1	  1000	   951	3.844281336854387e-06	1.799999999999996e+02	3.377944228418298e-01
collision No.22	1.808825e+02[yr]	i=1, j=325	r_ij=6.330624187206839e-05	radius[1]+radius[325]=6.338481524341289e-05
1.620000e+08	  1	  1000	   494	1.824911510308708e-03	1.809999999999996e+02	5.517147167346026e-02
1.630000e+08	  1	  1000	   991	1.600256169057166e-03	1.809999999999996e+02	7.555226397894812e-01
1.640000e+08	  1	  1000	   951	1.551161336184153e-06	1.819999999999996e+02	4.413318304298786e-01
1.650000e+08	  1	  1000	     1	2.132666028948502e-06	1.829999999999996e+02	1.272346013456089e-01
1.660000e+08	  1	  1000	   951	3.687146370793226e-06	1.829999999999996e+02	8.524767743436207e-01
1.670000e+08	  1	  1000	   994	1.588905502537635e-03	1.839999999999996e+02	5.166945460363186e-01
1.680000e+08	  1	  1000	     1	2.439982899139399e-06	1.849999999999995e+02	1.405134496170709e-01
1.690000e+08	  1	  1000	   948	1.867495277946909e-03	1.849999999999995e+02	7.435945768859251e-01
1.700000e+08	  1	  1000	   951	2.642425970010849e-06	1.859999999999995e+02	3.442068253626392e-01
1.710000e+08	  1	  1000	     1	1.650748603302521e-06	1.859999999999995e+02	9.396106911871561e-01
1.720000e+08	  1	  1000	   145	1.402026636979754e-03	1.869999999999995e+02	5.575940155618595e-01
1.730000e+08	  1	  1000	   951	2.474540565554634e-06	1.879999999999995e+02	1.749832874235084e-01
1.740000e+08	  1	  1000	     1	2.778610678251739e-06	1.879999999999995e+02	7.882224382541372e-01
1.750000e+08	  1	  1000	   549	1.428885397228435e-03	1.889999999999995e+02	4.056130638312758e-01
1.760000e+08	  1	  1000	   951	2.258791848930757e-06	1.899999999999995e+02	3.551720088389883e-02
1.770000e+08	  1	  1000	     1	3.605274444154180e-06	1.899999999999995e+02	6.552578684419902e-01
1.780000e+08	  1	  1000	     1	4.720354993335076e-06	1.909999999999995e+02	2.799821725756657e-01
1.790000e+08	  1	  1000	     1	4.848013155145550e-06	1.909999999999995e+02	9.137133458027668e-01
1.800000e+08	  1	  1000	   951	2.599261059392671e-06	1.919999999999995e+02	5.667593925980465e-01
1.810000e+08	  1	  1000	   951	1.445403655429555e-06	1.929999999999995e+02	2.145475892481438e-01
1.820000e+08	  1	  1000	   951	1.721146181681871e-06	1.929999999999995e+02	8.666785341663094e-01
1.830000e+08	  1	  1000	     1	2.171351402803875e-06	1.939999999999995e+02	5.238976788149596e-01
1.840000e+08	  1	  1000	   951	2.349425612260327e-06	1.949999999999995e+02	1.806400751096137e-01
1.850000e+08	  1	  1000	   189	1.465931704770123e-03	1.949999999999995e+02	8.674511939712686e-01
collision No.23	1.964419e+02[yr]	i=1, j=255	r_ij=6.329057741525061e-05	radius[1]+radius[255]=6.338481524341289e-05
1.860000e+08	  1	  1000	   943	1.610941072838704e-03	1.959999999999995e+02	5.637739605280861e-01
1.870000e+08	  1	  1000	     1	3.587462108894835e-06	1.969999999999995e+02	2.768752265516823e-01
1.880000e+08	  1	  1000	   785	1.340182537368522e-03	1.979999999999995e+02	2.833056905898225e-03
1.890000e+08	  1	  1000	   475	1.521573926029457e-03	1.979999999999995e+02	7.663175019558814e-01
1.900000e+08	  1	  1000	   951	4.650727510207556e-06	1.989999999999995e+02	5.866514551131068e-01
1.910000e+08	  1	  1000	    93	1.575529265158399e-03	1.999999999999995e+02	4.649155520429535e-01
1.920000e+08	  1	  1000	   951	5.590102203740827e-06	2.009999999999995e+02	3.617120674009468e-01
1.930000e+08	  1	  1000	   190	1.509974885392323e-03	2.019999999999995e+02	2.356963460078868e-01
1.940000e+08	  1	  1000	   450	1.370068624433528e-03	2.029999999999995e+02	1.088091393675547e-01
1.950000e+08	  1	  1000	   261	2.688404963578453e-04	2.029999999999995e+02	9.782929308619401e-01
1.960000e+08	  1	  1000	   951	1.763100289576449e-06	2.039999999999995e+02	8.479546283776251e-01
1.970000e+08	  1	  1000	   355	1.281658348992466e-03	2.049999999999995e+02	7.183446099762083e-01
1.980000e+08	  1	  1000	     1	9.141968587745018e-06	2.059999999999995e+02	5.892220281035330e-01
collision No.24	2.068694e+02[yr]	i=1, j=366	r_ij=6.321801091303057e-05	radius[1]+radius[366]=6.338481524341289e-05
1.990000e+08	  1	  1000	   951	1.579229946808039e-06	2.069999999999995e+02	4.443205480910924e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
2.000000e+08	  1	  1000	   392	1.595613401474740e-03	2.079999999999995e+02	2.960418107303576e-01
2.010000e+08	  1	  1000	     1	3.505351192366130e-06	2.089999999999995e+02	1.442240346171653e-01
2.020000e+08	  1	  1000	    65	1.466146601598198e-03	2.089999999999995e+02	9.858655040321302e-01
2.030000e+08	  1	  1000	   280	1.500579783098668e-03	2.099999999999995e+02	8.190285490716551e-01
2.040000e+08	  1	  1000	     1	5.157846134705101e-06	2.109999999999995e+02	6.468252135753143e-01
2.050000e+08	  1	  1000	   650	1.530169485267854e-03	2.119999999999995e+02	4.509614051153365e-01
2.060000e+08	  1	  1000	   375	1.476664894429466e-03	2.129999999999995e+02	2.531800976061858e-01
2.070000e+08	  1	  1000	   752	1.622062077357902e-03	2.139999999999995e+02	5.400089017282880e-02
2.080000e+08	  1	  1000	    41	1.847771734342119e-03	2.139999999999995e+02	8.525119120975693e-01
2.090000e+08	  1	  1000	   496	1.577241724456945e-03	2.149999999999995e+02	6.528774360594279e-01
2.100000e+08	  1	  1000	   584	1.691595843346791e-03	2.159999999999995e+02	4.447518870690274e-01
