1.800000e+07	  3	  3000	   378	1.842623435301986e-03	7.498942093324552e+00	1.926327722255136e+00
1.900000e+07	  3	  3000	  1473	1.461562857060800e-03	7.498942093324552e+00	2.450115645586549e+00
2.000000e+07	  3	  3000	   670	1.539021547534318e-03	9.999999999999991e+00	4.722773512398223e-01
2.100000e+07	  3	  3000	  1384	1.208731357210274e-03	9.999999999999991e+00	9.965261996852454e-01
2.200000e+07	  3	  3000	  1765	1.714680378531864e-03	9.999999999999991e+00	1.520756996108507e+00
2.300000e+07	  3	  3000	  2692	1.894524428862134e-03	9.999999999999991e+00	2.044275997174043e+00
2.400000e+07	  3	  3000	  2250	1.295295494269775e-03	9.999999999999991e+00	2.568877461319065e+00
2.500000e+07	  3	  3000	  2683	1.789986937955576e-03	9.999999999999991e+00	3.090440373595731e+00
2.600000e+07	  3	  3000	  1619	2.066942081161096e-03	1.333521432163323e+01	2.795925331548364e-01
2.700000e+07	  3	  3000	   154	1.232581743255019e-03	1.333521432163323e+01	8.024019303345240e-01
2.800000e+07	  3	  3000	   578	2.208224447327200e-03	1.333521432163323e+01	1.326895422116987e+00
2.900000e+07	  3	  3000	   428	1.607264516727572e-03	1.333521432163323e+01	1.849476271846102e+00
3.000000e+07	  3	  3000	   801	1.676344514159842e-03	1.333521432163323e+01	2.373440406801758e+00
3.100000e+07	  3	  3000	  1741	1.267933559950905e-03	1.333521432163323e+01	2.898171595720798e+00
3.200000e+07	  3	  3000	  2546	1.698512657616362e-03	1.333521432163323e+01	3.421122507548356e+00
3.300000e+07	  3	  3000	  1334	1.895659529252532e-03	1.333521432163323e+01	3.946065445513336e+00
3.400000e+07	  3	  3000	  2649	2.038352549165396e-03	1.778279410038921e+01	2.041352535876360e-02
3.500000e+07	  3	  3000	  2769	1.383984421866929e-03	1.778279410038921e+01	5.459178176333462e-01
3.600000e+07	  3	  3000	   613	1.477188205150314e-03	1.778279410038921e+01	1.068670626142333e+00
3.700000e+07	  3	  3000	   886	1.978481249819586e-03	1.778279410038921e+01	1.594066452805683e+00
3.800000e+07	  3	  3000	   744	1.875512895688733e-03	1.778279410038921e+01	2.116383614145312e+00
3.900000e+07	  3	  3000	  1745	1.422506126140078e-03	1.778279410038921e+01	2.638925763714851e+00
4.000000e+07	  3	  3000	  2507	1.324918802474865e-03	1.778279410038921e+01	3.163187939684786e+00
4.100000e+07	  3	  3000	   960	2.166189856641011e-03	1.778279410038921e+01	3.686534741738484e+00
collision No.1	2.180032e+01[yr]	i=1, j=1909	r_ij=6.327642660216686e-05	radius[1]+radius[1909]=6.338481524341289e-05
4.200000e+07	  3	  3000	  1054	1.403445436024370e-03	1.778279410038921e+01	4.210965481073144e+00
4.300000e+07	  3	  3000	  1862	1.425246579765734e-03	1.778279410038921e+01	4.732689984873556e+00
4.400000e+07	  3	  3000	   321	1.478201770545405e-03	1.778279410038921e+01	5.257078039577718e+00
4.500000e+07	  3	  3000	  1084	1.503024171139112e-03	1.778279410038921e+01	5.779749657376886e+00
4.600000e+07	  3	  3000	  2015	1.513654371227588e-03	2.371373705661653e+01	3.734881141491196e-01
4.700000e+07	  3	  3000	  2196	1.569480495213563e-03	2.371373705661653e+01	8.963316871682503e-01
4.800000e+07	  3	  3000	  2179	1.443099397679653e-03	2.371373705661653e+01	1.421446576349699e+00
4.900000e+07	  3	  3000	  1171	1.737978145672797e-03	2.371373705661653e+01	1.945258100418288e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  3000	  1249	1.872700078227528e-03	2.371373705661653e+01	2.467884787941703e+00
5.100000e+07	  3	  3000	  1532	1.384776661824369e-03	2.371373705661653e+01	2.992423346993526e+00
5.200000e+07	  3	  3000	  2599	1.670817866478131e-03	2.371373705661653e+01	3.516087972565980e+00
5.300000e+07	  3	  3000	  1256	1.338639636574365e-03	2.371373705661653e+01	4.040232478742325e+00
5.400000e+07	  3	  3000	    64	1.291934842292565e-03	2.371373705661653e+01	4.563919655385100e+00
5.500000e+07	  3	  3000	   513	1.596175773871519e-03	2.371373705661653e+01	5.087502313680051e+00
5.600000e+07	  3	  3000	   180	1.193565710231963e-03	2.371373705661653e+01	5.611783836026114e+00
5.700000e+07	  3	  3000	   763	1.526837319583649e-03	2.371373705661653e+01	6.136151193527373e+00
5.800000e+07	  3	  3000	   441	1.307111364765565e-03	2.371373705661653e+01	6.660058319000289e+00
5.900000e+07	  3	  3000	   887	1.487758023394838e-03	2.371373705661653e+01	7.184672283619578e+00
6.000000e+07	  3	  3000	   396	1.350493632204662e-03	2.371373705661653e+01	7.707397399944641e+00
6.100000e+07	  3	  3000	  1406	1.432701256708359e-03	3.162277660168376e+01	3.224360321004054e-01
6.200000e+07	  3	  3000	  1657	1.724501701973636e-03	3.162277660168376e+01	8.456905524285551e-01
6.300000e+07	  3	  3000	  2723	1.888708178989181e-03	3.162277660168376e+01	1.368719754914005e+00
6.400000e+07	  3	  3000	   288	1.320531319077058e-03	3.162277660168376e+01	1.891787524706515e+00
collision No.2	3.357577e+01[yr]	i=3, j=587	r_ij=6.331494022870712e-05	radius[3]+radius[587]=6.338481524341289e-05
6.500000e+07	  3	  3000	  1277	1.576317393418938e-03	3.162277660168376e+01	2.415759753948031e+00
6.600000e+07	  3	  3000	   221	2.127330034417174e-03	3.162277660168376e+01	2.939393814220541e+00
6.700000e+07	  3	  3000	  1424	1.207420243327882e-03	3.162277660168376e+01	3.464256148879169e+00
6.800000e+07	  3	  3000	   601	1.293200096576744e-03	3.162277660168376e+01	3.987663339855926e+00
6.900000e+07	  3	  3000	   157	1.500813343373873e-03	3.162277660168376e+01	4.511728423432082e+00
7.000000e+07	  3	  3000	  2628	1.561912735157723e-03	3.162277660168376e+01	5.035903056988457e+00
7.100000e+07	  3	  3000	  1540	1.436360364937251e-03	3.162277660168376e+01	5.559020104905787e+00
7.200000e+07	  3	  3000	   109	2.000443608110106e-03	3.162277660168376e+01	6.083602683145658e+00
7.300000e+07	  3	  3000	    75	1.337711310290076e-03	3.162277660168376e+01	6.606727921469481e+00
7.400000e+07	  3	  3000	  2307	1.753514036063112e-03	3.162277660168376e+01	7.129394956068388e+00
7.500000e+07	  3	  3000	  2805	9.951757763915269e-04	3.162277660168376e+01	7.652247068819876e+00
7.600000e+07	  3	  3000	  1809	1.388856826959216e-03	3.162277660168376e+01	8.175645289827338e+00
7.700000e+07	  3	  3000	  2314	1.730768427497000e-03	3.162277660168376e+01	8.697651474990737e+00
7.800000e+07	  3	  3000	  1096	1.526671613867325e-03	3.162277660168376e+01	9.223490337750349e+00
7.900000e+07	  3	  3000	  1682	1.436122258619019e-03	3.162277660168376e+01	9.745015658910843e+00
8.000000e+07	  3	  3000	    41	1.660291485905162e-03	3.162277660168376e+01	1.026956388105426e+01
8.100000e+07	  3	  3000	   291	1.890806343704160e-03	4.216965034285818e+01	2.447309231282873e-01
8.200000e+07	  3	  3000	   562	2.136713790516883e-03	4.216965034285818e+01	7.694771437697642e-01
8.300000e+07	  3	  3000	  1901	2.032176706053185e-03	4.216965034285818e+01	1.292634280212497e+00
8.400000e+07	  3	  3000	   646	1.565181161735935e-03	4.216965034285818e+01	1.818073421065120e+00
8.500000e+07	  3	  3000	  1641	1.518807273040537e-03	4.216965034285818e+01	2.340797033046891e+00
8.600000e+07	  3	  3000	   378	1.794797988964283e-03	4.216965034285818e+01	2.865908856061258e+00
8.700000e+07	  3	  3000	  2503	1.286384957792569e-03	4.216965034285818e+01	3.389603655138811e+00
8.800000e+07	  3	  3000	   867	1.896869547627029e-03	4.216965034285818e+01	3.913441467396265e+00
8.900000e+07	  3	  3000	   173	1.352009378680910e-03	4.216965034285818e+01	4.436422876335872e+00
9.000000e+07	  3	  3000	  1642	1.264786498410471e-03	4.216965034285818e+01	4.960015075333012e+00
9.100000e+07	  3	  3000	  2655	1.478860031466607e-03	4.216965034285818e+01	5.484049226917441e+00
9.200000e+07	  3	  3000	   557	1.512887293130754e-03	4.216965034285818e+01	6.007624882647372e+00
9.300000e+07	  3	  3000	  2942	1.945713196028399e-03	4.216965034285818e+01	6.531873351504041e+00
9.400000e+07	  3	  3000	  2969	1.454213976713131e-03	4.216965034285818e+01	7.055339662096921e+00
9.500000e+07	  3	  3000	  1035	1.565744094041704e-03	4.216965034285818e+01	7.579304497125510e+00
9.600000e+07	  3	  3000	  2828	1.349916511522355e-03	4.216965034285818e+01	8.102683667681989e+00
9.700000e+07	  3	  3000	   871	1.660166282054440e-03	4.216965034285818e+01	8.625441578639943e+00
9.800000e+07	  3	  3000	  1166	1.822967581070483e-03	4.216965034285818e+01	9.149022171648607e+00
9.900000e+07	  3	  3000	   677	1.463187723045461e-03	4.216965034285818e+01	9.672495486876874e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.000000e+08	  3	  3000	   352	2.042495054758490e-03	4.216965034285818e+01	1.019641940699255e+01
1.010000e+08	  3	  3000	  1244	1.496617866522391e-03	4.216965034285818e+01	1.071887867864002e+01
1.020000e+08	  3	  3000	   328	2.036653945079893e-03	4.216965034285818e+01	1.124128384313203e+01
1.030000e+08	  3	  3000	  1647	1.271251386646421e-03	4.216965034285818e+01	1.176506840289339e+01
1.040000e+08	  3	  3000	   806	1.291831215267632e-03	4.216965034285818e+01	1.228826227755611e+01
1.050000e+08	  3	  3000	  2183	1.656673369762544e-03	4.216965034285818e+01	1.281299728361358e+01
1.060000e+08	  3	  3000	   732	1.558248936124537e-03	4.216965034285818e+01	1.333573236681154e+01
1.070000e+08	  3	  3000	  2101	1.732322195333301e-03	4.216965034285818e+01	1.386008065440799e+01
1.080000e+08	  3	  3000	   166	1.391251637777084e-03	5.623413251903484e+01	3.174752029621282e-01
1.090000e+08	  3	  3000	  1540	1.826492609329653e-03	5.623413251903484e+01	8.407010727968165e-01
1.100000e+08	  3	  3000	   175	2.310960247872273e-03	5.623413251903484e+01	1.365113561613494e+00
1.110000e+08	  3	  3000	  1108	1.473067987349422e-03	5.623413251903484e+01	1.886948449350927e+00
1.120000e+08	  3	  3000	  2594	1.123358234114000e-03	5.623413251903484e+01	2.410732649779610e+00
1.130000e+08	  3	  3000	  2121	1.439282250363507e-03	5.623413251903484e+01	2.933665024216214e+00
1.140000e+08	  3	  3000	  1119	1.530498404824267e-03	5.623413251903484e+01	3.456595153872901e+00
1.150000e+08	  3	  3000	  1337	1.532966890520248e-03	5.623413251903484e+01	3.980711167141540e+00
1.160000e+08	  3	  3000	  1845	1.577303199248347e-03	5.623413251903484e+01	4.503866415124333e+00
1.170000e+08	  3	  3000	   140	2.216456870582972e-03	5.623413251903484e+01	5.026923952542872e+00
1.180000e+08	  3	  3000	  2365	1.535509120123330e-03	5.623413251903484e+01	5.550997386902082e+00
1.190000e+08	  3	  3000	  1677	1.675952549027499e-03	5.623413251903484e+01	6.074406798470506e+00
1.200000e+08	  3	  3000	  2143	1.610410344878068e-03	5.623413251903484e+01	6.597650397313736e+00
1.210000e+08	  3	  3000	  2177	1.251029627938037e-03	5.623413251903484e+01	7.121541753243259e+00
1.220000e+08	  3	  3000	   905	1.348208544918146e-03	5.623413251903484e+01	7.644296201721972e+00
1.230000e+08	  3	  3000	  2058	1.360100185938972e-03	5.623413251903484e+01	8.169122945143977e+00
1.240000e+08	  3	  3000	  1936	1.491084086491955e-03	5.623413251903484e+01	8.690726479166221e+00
1.250000e+08	  3	  3000	   627	1.390140975257732e-03	5.623413251903484e+01	9.215603426347025e+00
1.260000e+08	  3	  3000	  1797	1.833427312744373e-03	5.623413251903484e+01	9.737146380466893e+00
1.270000e+08	  3	  3000	   694	2.284744217613456e-03	5.623413251903484e+01	1.026109636792372e+01
1.280000e+08	  3	  3000	   266	1.276241241606019e-03	5.623413251903484e+01	1.078300743446175e+01
1.290000e+08	  3	  3000	  1635	1.409203256229949e-03	5.623413251903484e+01	1.130496003546538e+01
1.300000e+08	  3	  3000	   155	1.055533617601688e-03	5.623413251903484e+01	1.182691940223258e+01
1.310000e+08	  3	  3000	  2936	1.602616827164866e-03	5.623413251903484e+01	1.234850999421040e+01
1.320000e+08	  3	  3000	  2844	1.489893223812081e-03	5.623413251903484e+01	1.287152057852359e+01
1.330000e+08	  3	  3000	   576	1.138812789544651e-03	5.623413251903484e+01	1.339313590137710e+01
1.340000e+08	  3	  3000	   258	1.164715260867308e-03	5.623413251903484e+01	1.391899574460621e+01
1.350000e+08	  3	  3000	  1722	1.585029608686146e-03	5.623413251903484e+01	1.444135109816983e+01
1.360000e+08	  3	  3000	  2738	1.701923122756298e-03	5.623413251903484e+01	1.496327714407111e+01
1.370000e+08	  3	  3000	  2960	1.846606623326157e-03	5.623413251903484e+01	1.548790671415415e+01
1.380000e+08	  3	  3000	  2807	1.748656364763957e-03	5.623413251903484e+01	1.600951252433497e+01
1.390000e+08	  3	  3000	  2642	1.370245285019086e-03	5.623413251903484e+01	1.653411596717937e+01
1.400000e+08	  3	  3000	  2840	1.907478156921822e-03	5.623413251903484e+01	1.705543319345949e+01
1.410000e+08	  3	  3000	  1228	1.126505978449129e-03	5.623413251903484e+01	1.758078636206320e+01
1.420000e+08	  3	  3000	  1021	1.132022140645070e-03	5.623413251903484e+01	1.810173478014131e+01
1.430000e+08	  3	  3000	   375	1.721540021549299e-03	5.623413251903484e+01	1.862575297602021e+01
1.440000e+08	  3	  3000	    26	1.821792714972141e-03	7.498942093324548e+01	3.941887994439753e-01
1.450000e+08	  3	  3000	   618	1.703945776293119e-03	7.498942093324548e+01	9.157536873279554e-01
1.460000e+08	  3	  3000	  1130	1.333965936436259e-03	7.498942093324548e+01	1.440618335359112e+00
1.470000e+08	  3	  3000	   240	1.258444248790367e-03	7.498942093324548e+01	1.961590519584345e+00
1.480000e+08	  3	  3000	   139	1.100478455044463e-03	7.498942093324548e+01	2.485763487652455e+00
1.490000e+08	  3	  3000	  2440	1.958775542977323e-03	7.498942093324548e+01	3.007341502543127e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.500000e+08	  3	  3000	  2347	1.314921077583520e-03	7.498942093324548e+01	3.530828523881837e+00
1.510000e+08	  3	  3000	   250	1.275519748539082e-03	7.498942093324548e+01	4.053670728241123e+00
1.520000e+08	  3	  3000	  1430	1.518143581262160e-03	7.498942093324548e+01	4.577152474890343e+00
1.530000e+08	  3	  3000	   899	1.845912928805465e-03	7.498942093324548e+01	5.099942339098869e+00
1.540000e+08	  3	  3000	  2675	1.607691401306252e-03	7.498942093324548e+01	5.623857520684239e+00
1.550000e+08	  3	  3000	  2955	1.494469420807761e-03	7.498942093324548e+01	6.146826965540718e+00
1.560000e+08	  3	  3000	   739	1.354464971734675e-03	7.498942093324548e+01	6.670682856767007e+00
1.570000e+08	  3	  3000	  1426	2.136693936074573e-03	7.498942093324548e+01	7.193566143970489e+00
1.580000e+08	  3	  3000	   747	1.424295306009529e-03	7.498942093324548e+01	7.716422888949999e+00
1.590000e+08	  3	  3000	  1135	2.156597065651041e-03	7.498942093324548e+01	8.239203240519167e+00
1.600000e+08	  3	  3000	  1383	1.495438708493098e-03	7.498942093324548e+01	8.762715551928844e+00
1.610000e+08	  3	  3000	  2278	2.008510636012095e-03	7.498942093324548e+01	9.285064419173496e+00
1.620000e+08	  3	  3000	  1619	2.840271265715337e-03	7.498942093324548e+01	9.809520959216853e+00
1.630000e+08	  3	  3000	  1645	1.841559252726167e-03	7.498942093324548e+01	1.033214809537775e+01
1.640000e+08	  3	  3000	  1207	1.515334617454367e-03	7.498942093324548e+01	1.085442200761763e+01
1.650000e+08	  3	  3000	  2432	1.402888755968973e-03	7.498942093324548e+01	1.137713156438021e+01
1.660000e+08	  3	  3000	   305	1.271023175296213e-03	7.498942093324548e+01	1.189923886498742e+01
1.670000e+08	  3	  3000	  2725	1.273611664011730e-03	7.498942093324548e+01	1.242296607521288e+01
1.680000e+08	  3	  3000	   172	1.222053348561541e-03	7.498942093324548e+01	1.294502479963380e+01
1.690000e+08	  3	  3000	  1120	1.484057693731694e-03	7.498942093324548e+01	1.346974342486425e+01
1.700000e+08	  3	  3000	   509	1.682892281973304e-03	7.498942093324548e+01	1.399130099919926e+01
1.710000e+08	  3	  3000	  2717	1.521772377144606e-03	7.498942093324548e+01	1.451592770930559e+01
1.720000e+08	  3	  3000	  2920	1.445731200026163e-03	7.498942093324548e+01	1.503698833727067e+01
1.730000e+08	  3	  3000	  1769	1.502668629298757e-03	7.498942093324548e+01	1.556182114233637e+01
1.740000e+08	  3	  3000	  2485	1.385577456982318e-03	7.498942093324548e+01	1.608349430892372e+01
1.750000e+08	  3	  3000	  1968	1.762040825845693e-03	7.498942093324548e+01	1.660770320861933e+01
1.760000e+08	  3	  3000	  2188	1.711297149443662e-03	7.498942093324548e+01	1.712932831941007e+01
1.770000e+08	  3	  3000	  2424	1.354933198502600e-03	7.498942093324548e+01	1.765336801549784e+01
1.780000e+08	  3	  3000	  1448	1.404813471426479e-03	7.498942093324548e+01	1.817652037810226e+01
-----
real time > 14100 [s]
Timer expired. Ending this program.
-----
dt_[1448]	= 8.826703e-03
E_error	= 1.472053424066416e-04
L_error	= 5.205485468828651e+12
dE_correct	= 0.000000000000000e+00
step	= 1.780000000000000e+08
dt_ene	= 1.000000e-01[yr]
geometric ratio	= (sqrt(sqrt(sqrt(10.0))))
-----
real time	= 14135.919073[s]
user time	= 41703.184000[s]
system time	= 659.836000[s]
Execution Time	(total	= 1.413592e+04 [s])
Corrector		= 6.727488e+03 [s]	47.59 [%]
Predictor		= 3.580342e+03 [s]	25.33 [%]
Iteration		= 2.864606e+03 [s]	20.26 [%]
Orbital_Elements	= 5.081850e+01 [s]	 0.36 [%]
Collision_Judgement	= 3.341294e+00 [s]	 0.02 [%]
Energy			= 5.161080e-01 [s]	 0.00 [%]
Fragmentation		= 0.000000e+00 [s]	 0.00 [%]
Others			= 9.088073e+02 [s]	 6.43 [%]
-----
myid = 0	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_nofrag_noacc/rand01/tempread.dat' exists.
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.780000e+08	  3	  3000	  1448	1.404813471426479e-03	7.498942093324548e+01	1.817652037810227e+01
1.790000e+08	  3	  3000	   746	1.733235175584775e-03	7.498942093324548e+01	1.869791327807917e+01
1.800000e+08	  3	  3000	   785	1.111479972676039e-03	7.498942093324548e+01	1.922233498492330e+01
1.810000e+08	  3	  3000	    54	1.363054685332953e-03	7.498942093324548e+01	1.974443134435876e+01
1.820000e+08	  3	  3000	  2616	1.486089435943473e-03	7.498942093324548e+01	2.026797518545641e+01
1.830000e+08	  3	  3000	   753	1.929665975983710e-03	7.498942093324548e+01	2.079145269075521e+01
1.840000e+08	  3	  3000	  2225	1.274629372907971e-03	7.498942093324548e+01	2.131281591488185e+01
1.850000e+08	  3	  3000	   528	1.281337547505577e-03	7.498942093324548e+01	2.183641722453069e+01
1.860000e+08	  3	  3000	  2438	1.751787667788270e-03	7.498942093324548e+01	2.235993348238692e+01
1.870000e+08	  3	  3000	  1929	1.610385567899338e-03	7.498942093324548e+01	2.288162658841934e+01
1.880000e+08	  3	  3000	  2402	1.026473249947014e-03	7.498942093324548e+01	2.340604996673498e+01
1.890000e+08	  3	  3000	  2090	2.583907620627232e-03	7.498942093324548e+01	2.392861374123310e+01
1.900000e+08	  3	  3000	  2074	1.788060349266741e-03	7.498942093324548e+01	2.445241218338607e+01
1.910000e+08	  3	  3000	   937	1.336019030014784e-03	7.498942093324548e+01	2.497585534095140e+01
1.920000e+08	  3	  3000	  2725	1.221708429546514e-03	9.999999999999986e+01	4.869609396835629e-01
1.930000e+08	  3	  3000	   515	1.913422697915350e-03	9.999999999999986e+01	1.010057216280034e+00
1.940000e+08	  3	  3000	  2640	1.519523202097954e-03	9.999999999999986e+01	1.533091667315504e+00
1.950000e+08	  3	  3000	   834	1.645550030787753e-03	9.999999999999986e+01	2.056616120967588e+00
1.960000e+08	  3	  3000	  1030	1.496580062139553e-03	9.999999999999986e+01	2.578490696312540e+00
1.970000e+08	  3	  3000	  2464	1.389030091630878e-03	9.999999999999986e+01	3.101687409577269e+00
1.980000e+08	  3	  3000	  2064	1.445894059562786e-03	9.999999999999986e+01	3.623145939979541e+00
1.990000e+08	  3	  3000	  2466	1.557708462408216e-03	9.999999999999986e+01	4.147542893091352e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
2.000000e+08	  3	  3000	  2867	1.267703558785197e-03	9.999999999999986e+01	4.670001317435796e+00
2.010000e+08	  3	  3000	  1273	1.271630422995223e-03	9.999999999999986e+01	5.193024097953132e+00
2.020000e+08	  3	  3000	   909	1.876601518173534e-03	9.999999999999986e+01	5.717247972755009e+00
2.030000e+08	  3	  3000	   618	1.594399130005743e-03	9.999999999999986e+01	6.237737263311603e+00
2.040000e+08	  3	  3000	  2704	1.980625905979811e-03	9.999999999999986e+01	6.762185795045913e+00
2.050000e+08	  3	  3000	  1103	1.194986482564960e-03	9.999999999999986e+01	7.282265033363883e+00
2.060000e+08	  3	  3000	   178	1.526880480396927e-03	9.999999999999986e+01	7.806747469191786e+00
2.070000e+08	  3	  3000	  2875	1.246694262261580e-03	9.999999999999986e+01	8.324902554607212e+00
2.080000e+08	  3	  3000	  1782	1.390323083346672e-03	9.999999999999986e+01	8.850044088105729e+00
2.090000e+08	  3	  3000	  1214	1.740309073068323e-03	9.999999999999986e+01	9.371777308380041e+00
2.100000e+08	  3	  3000	   611	1.597033644043122e-03	9.999999999999986e+01	9.895313435122588e+00
2.110000e+08	  3	  3000	  1636	1.419122124085785e-03	9.999999999999986e+01	1.041684689237898e+01
2.120000e+08	  3	  3000	  2392	1.540331557006848e-03	9.999999999999986e+01	1.093920169015836e+01
2.130000e+08	  3	  3000	  2953	1.214581760757737e-03	9.999999999999986e+01	1.146200931796629e+01
2.140000e+08	  3	  3000	   791	1.101584453649045e-03	9.999999999999986e+01	1.198631360839897e+01
2.150000e+08	  3	  3000	   684	1.345904057342201e-03	9.999999999999986e+01	1.250599779154907e+01
2.160000e+08	  3	  3000	   453	1.054213917887298e-04	9.999999999999986e+01	1.302949919302589e+01
2.170000e+08	  3	  3000	  1159	1.638776728755746e-03	9.999999999999986e+01	1.355139831406806e+01
2.180000e+08	  3	  3000	  2787	1.803829687389692e-03	9.999999999999986e+01	1.407493290553163e+01
2.190000e+08	  3	  3000	  2318	1.985941108927777e-03	9.999999999999986e+01	1.459664756906411e+01
2.200000e+08	  3	  3000	  2314	1.110072870924923e-03	9.999999999999986e+01	1.511985677202648e+01
2.210000e+08	  3	  3000	   124	1.841649343881685e-03	9.999999999999986e+01	1.564171347378775e+01
2.220000e+08	  3	  3000	   225	1.451377832026609e-03	9.999999999999986e+01	1.616405820536585e+01
2.230000e+08	  3	  3000	   900	1.532987498911502e-03	9.999999999999986e+01	1.668646198591468e+01
2.240000e+08	  3	  3000	  1649	2.041745219130860e-03	9.999999999999986e+01	1.720853360220463e+01
2.250000e+08	  3	  3000	  1878	1.293471458839112e-03	9.999999999999986e+01	1.773154800050207e+01
2.260000e+08	  3	  3000	  1069	2.123183989749183e-03	9.999999999999986e+01	1.825411942172825e+01
2.270000e+08	  3	  3000	  1390	1.171886443775905e-03	9.999999999999986e+01	1.877865144806842e+01
2.280000e+08	  3	  3000	  2317	1.566048497341688e-03	9.999999999999986e+01	1.929978239930089e+01
2.290000e+08	  3	  3000	   698	1.682061015432844e-03	9.999999999999986e+01	1.982408276007986e+01
2.300000e+08	  3	  3000	  2160	1.740310899519603e-03	9.999999999999986e+01	2.034556287439387e+01
2.310000e+08	  3	  3000	  1712	1.386963705947479e-03	9.999999999999986e+01	2.086930161645860e+01
2.320000e+08	  3	  3000	   518	1.956582477654950e-03	9.999999999999986e+01	2.139114576135366e+01
2.330000e+08	  3	  3000	  2058	1.399042694009181e-03	9.999999999999986e+01	2.191483605167944e+01
2.340000e+08	  3	  3000	  2992	1.532499023784403e-03	9.999999999999986e+01	2.243650653341571e+01
2.350000e+08	  3	  3000	  2079	1.390635980386758e-03	9.999999999999986e+01	2.296000741008537e+01
